category,profile,month,year,fb_followers,fb_number_likes,fb_number_comments,fb_number_posts,insta_followers,insta_number_comments,insta_number_posts,insta_number_likes,twitter_fans,twitter_number_posts,twitter_number_likes,twitter_retweets
Líderes Mundiais,Viktor Orbán,2,19,644654.0,100557.0,6534.0,22.0,,,,,36309.0,0.0,0.0,0.0
Líderes Mundiais,Iván Duque,2,19,904782.0,129822.0,19476.0,120.0,594592.0,17867.0,36.0,621378.0,804458.0,251.0,476852.0,220616.0
Líderes Mundiais,Justin Trudeau,2,19,6470315.0,298114.0,56572.0,57.0,,,,,4459138.0,284.0,206764.0,41193.0
Líderes Mundiais,Giuseppe Conte,2,19,856695.0,391853.0,74722.0,78.0,,,,,200435.0,41.0,73679.0,19062.0
Líderes Mundiais,Scott Morrison,2,19,132921.0,78093.0,18601.0,58.0,31152.0,2392.0,25.0,38725.0,129960.0,75.0,28356.0,6345.0
Líderes Mundiais,Boris Johnson,2,19,556618.0,18459.0,4988.0,4.0,,,,,521072.0,25.0,62941.0,15789.0
Líderes Mundiais,Alberto Fernández,2,19,,4005.0,270.0,23.0,,139.0,3.0,3416.0,,0.0,0.0,0.0
Líderes Mundiais,Pedro Sánchez,2,19,247392.0,54556.0,12520.0,48.0,,,,,987277.0,155.0,258615.0,111352.0
Líderes Mundiais,Rody Duterte,2,19,4335811.0,0.0,0.0,0.0,,,,,180845.0,1.0,512.0,100.0
Líderes Mundiais,Donald Trump,3,19,23903763.0,6548105.0,868095.0,193.0,,457952.0,80.0,17148310.0,59459134.0,397.0,28322355.0,6520418.0
Líderes Mundiais,Jair Bolsonaro,3,19,9398728.0,7758416.0,1046850.0,136.0,11244755.0,952693.0,113.0,31742582.0,3873295.0,243.0,8150545.0,1211396.0
Líderes Mundiais,Narendra Modi,3,19,43573686.0,3996454.0,591659.0,54.0,,,,,46676996.0,416.0,10065175.0,2469110.0
Líderes Mundiais,Erdogan,3,19,9027545.0,1584170.0,407525.0,121.0,,122463.0,7.0,3787984.0,13559713.0,156.0,2270654.0,506453.0
Líderes Mundiais,Obrador,3,19,5747934.0,1365050.0,474037.0,63.0,,4378.0,3.0,117858.0,5411094.0,57.0,436219.0,122104.0
Líderes Mundiais,Lacalle Pou,3,19,120129.0,18747.0,3623.0,58.0,18600.0,2181.0,61.0,64162.0,120863.0,123.0,34576.0,11047.0
Líderes Mundiais,Cristina Kirchner,3,19,2442817.0,146936.0,25825.0,10.0,,3577.0,2.0,121106.0,5380791.0,22.0,325085.0,102417.0
Líderes Mundiais,Rody Duterte,3,19,4340820.0,30068.0,4755.0,2.0,,,,,181714.0,1.0,188.0,38.0
Líderes Mundiais,Viktor Orbán,3,19,647365.0,141359.0,7720.0,24.0,,,,,36472.0,0.0,0.0,0.0
Líderes Mundiais,Matteo Salvini,3,19,3547421.0,7481765.0,1563176.0,454.0,1375930.0,579969.0,338.0,12387288.0,1014852.0,546.0,1086356.0,204059.0
Líderes Mundiais,Giuseppe Conte,3,19,873018.0,755125.0,98160.0,102.0,,,,,210234.0,66.0,77755.0,18712.0
Líderes Mundiais,Evo Morales,3,19,515938.0,62947.0,12246.0,49.0,35436.0,0.0,0.0,0.0,516118.0,352.0,201458.0,120681.0
Líderes Mundiais,Benjamin Netanyahu,3,19,2408581.0,1103426.0,225536.0,171.0,583882.0,127342.0,143.0,1706743.0,1540580.0,179.0,410853.0,77400.0
Líderes Mundiais,Nicolás Maduro,3,19,833730.0,332996.0,173301.0,161.0,588964.0,83506.0,102.0,446913.0,3589581.0,429.0,734811.0,671421.0
Líderes Mundiais,Iván Duque,3,19,904840.0,95034.0,15092.0,123.0,604630.0,4915.0,18.0,142939.0,835238.0,220.0,249016.0,102896.0
Líderes Mundiais,Piñera,3,19,500297.0,41729.0,9792.0,35.0,385579.0,15903.0,31.0,268891.0,2205729.0,49.0,95797.0,36529.0
Líderes Mundiais,Emmanuel Macron,3,19,2397072.0,111900.0,47385.0,40.0,1321912.0,9748.0,10.0,266141.0,3787532.0,103.0,287769.0,73562.0
Líderes Mundiais,Justin Trudeau,3,19,6485165.0,422752.0,88973.0,86.0,,,,,4478631.0,462.0,421950.0,76701.0
Líderes Mundiais,Scott Morrison,3,19,145021.0,88005.0,23954.0,60.0,36401.0,3974.0,29.0,64413.0,139676.0,80.0,57798.0,15296.0
Líderes Mundiais,Pedro Sánchez,3,19,248400.0,56718.0,8143.0,83.0,,,,,994750.0,237.0,207080.0,92111.0
Líderes Mundiais,Boris Johnson,3,19,556050.0,14537.0,7895.0,5.0,,,,,536436.0,20.0,54244.0,15958.0
Líderes Mundiais,Alberto Fernández,3,19,,5681.0,380.0,43.0,,368.0,8.0,9756.0,,0.0,0.0,0.0
Líderes Mundiais,Narendra Modi,4,19,43715426.0,7269730.0,952016.0,84.0,,,,,47073379.0,482.0,9461748.0,2347624.0
Líderes Mundiais,Donald Trump,4,19,23945522.0,5756612.0,884762.0,209.0,,438623.0,90.0,17187056.0,59943569.0,423.0,30761117.0,7198378.0
Líderes Mundiais,Erdogan,4,19,9019140.0,516923.0,64847.0,44.0,,36119.0,2.0,1241107.0,13685905.0,69.0,1493329.0,270460.0
Líderes Mundiais,Jair Bolsonaro,4,19,9440085.0,7879525.0,889009.0,157.0,11592678.0,1014510.0,137.0,36713160.0,4117303.0,236.0,7762295.0,1100224.0
